"nid","parent_nid","name","serial","type","latitude","longitude","status"
"1500","13","Kabupaten Banjarnegara","3304","2","-7.402706","109.681396","1"
"1501","13","Kabupaten Kebumen","3305","2","-7.678682","109.656502","1"
"1502","13","Kabupaten Purworejo","3306","2","-7.709731","110.008003","1"
"1503","13","Kabupaten Wonosobo","3307","2","-7.362109","109.899399","1"
"1504","13","Kabupaten Magelang","3308","2","-7.481253","110.213799","1"
"1505","13","Kabupaten Boyolali","3309","2","-7.523819","110.595901","1"
"1506","13","Kabupaten Klaten","3310","2","-7.711687","110.595497","1"
"1507","13","Kabupaten Sukoharjo","3311","2","-7.6808818","110.8195292","1"
"1508","13","Kabupaten Wonogiri","3312","2","-7.817782","110.920601","1"
"1509","13","Kabupaten Karanganyar","3313","2","-7.5961111","110.9508333","1"
"1510","13","Kabupaten Sragen","3314","2","-7.430229","111.021301","1"
"1511","13","Kabupaten Grobogan","3315","2","-7.0217194","110.9625854","1"
"1512","13","Kabupaten Blora","3316","2","-6.95","111.4166667","1"
"1513","13","Kabupaten Rembang","3317","2","-6.71124","111.345299","1"
"1514","13","Kabupaten Pati","3318","2","-6.751338","111.038002","1"
"1515","13","Kabupaten Kudus","3319","2","-6.804087","110.838203","1"
"1516","13","Kabupaten Jepara","3320","2","-6.5596059","110.6717","1"